t,tau_cmd,tau_meas,q,dq
7.628249711,0.475161411,0.303999990,0.314159274,-7.574728966
7.638859087,0.512924639,0.342000008,0.244346097,-7.312929630
7.649325841,0.549822992,0.417999983,0.174532920,-7.033677101
7.659822711,0.586445392,0.379999995,0.104719758,-6.754424095
7.670331605,0.622700898,0.474999994,0.052359879,-6.457718372
7.680836308,0.658507851,0.474999994,0.000000000,-6.143558979
7.691238424,0.693512931,0.550999999,-0.052359879,-5.811946392
7.701722615,0.728314549,0.588999987,-0.104719758,-5.497786999
7.712293424,0.762891698,0.588999987,-0.157079637,-5.148721218
7.722842107,0.796859743,0.588999987,-0.191986218,-4.782202244
7.733322483,0.830053253,0.646000028,-0.226892799,-4.415682793
7.743842516,0.862793207,0.664999962,-0.261799395,-4.049163818
7.754336702,0.894851851,0.759999990,-0.296705961,-3.665191412
7.764773217,0.926117030,0.722000003,-0.331612557,-3.263765812
7.775329580,0.957093009,0.778999984,-0.349065840,-2.862339973
7.785824771,0.987221720,0.778999984,-0.366519153,-2.460914135
7.796414615,1.016925939,0.835999966,-0.383972436,-2.059488535
7.806958911,1.045786752,0.874000013,-0.383972436,-1.623156190
