t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
2.779800923,-1.296168512,-0.968999982,-0.703982350,6.038839340,-11.449359894,-11.439733988,-0.387817321
2.790640442,-1.280473925,-0.874000013,-0.699025940,5.916666031,-11.449359894,-11.443078847,-0.257522112
2.801127231,-1.264781259,-0.911999941,-0.706762830,5.794493198,-11.449359894,-11.445261418,-0.456593292
2.811713467,-1.248438563,-0.797999978,-0.711708771,5.672319889,-11.466813087,-11.452750302,-0.580299230
2.822575845,-1.231152915,-0.930999994,-0.703922715,5.550147057,-11.466813087,-11.457636911,-0.375832207
2.833049063,-1.213997753,-0.854999959,-0.699180706,5.427973747,-11.466813087,-11.460825496,-0.251180013
2.843576713,-1.196276634,-0.835999966,-0.695831336,5.305800915,-11.466813087,-11.462906095,-0.163235846
2.854117511,-1.178061436,-0.854999959,-0.693662017,5.183628082,-11.466813087,-11.464263717,-0.106270349
2.864709722,-1.159288943,-0.817000031,-0.692218725,5.061454773,-11.466813087,-11.465149585,-0.068380173
2.875712768,-1.139299084,-0.874000013,-0.691275087,4.939281940,-11.466813087,-11.465727627,-0.043607898
2.886545269,-1.119140293,-0.817000031,-0.690721285,4.817108631,-11.466813087,-11.466104809,-0.029047406
2.897037671,-1.099169486,-0.854999959,-0.690353485,4.694935799,-11.466813087,-11.466350925,-0.019379818
2.907532680,-1.078763622,-0.854999959,-0.690097022,4.572762489,-11.466813087,-11.466511520,-0.012645154
2.918022633,-1.057945730,-0.817000031,-0.689929489,4.450589657,-11.466813087,-11.466616310,-0.008245821
2.928548586,-1.036640655,-0.930999994,-0.689820130,4.328416348,-11.466813087,-11.466684687,-0.005374133
2.939029471,-1.015021330,-0.893000007,-0.689748764,4.206243515,-11.466813087,-11.466729304,-0.003500114
2.949693809,-0.992617030,-0.911999941,-0.689700376,4.084070683,-11.466813087,-11.466758418,-0.002230142
2.960808223,-0.968840486,-0.911999941,-0.689669540,3.961897373,-11.466813087,-11.466777415,-0.001420583
2.971704479,-0.945117789,-0.835999966,-0.689651185,3.839724302,-11.466813087,-11.466789810,-0.000938056
2.982678133,-0.920823669,-0.759999990,-0.689639066,3.700098038,-11.466813087,-11.466797899,-0.000619530
2.993061202,-0.897474109,-0.835999966,-0.689631363,3.577924967,-11.466813087,-11.466803177,-0.000416981
3.003714129,-0.873160487,-0.740999937,-0.689625539,3.473205328,-11.466813087,-11.466806621,-0.000264155
3.014805902,-0.847471298,-0.817000031,-0.689621902,3.333578825,-11.466813087,-11.466808868,-0.000168665
3.025621143,-0.822065784,-0.817000031,-0.689619799,3.211405754,-11.466813087,-11.466810334,-0.000113371
3.036018411,-0.797319891,-0.817000031,-0.678563777,3.089232683,-11.466813087,-11.466811291,0.286178989
3.046545778,-0.771952387,-0.835999966,-0.671153653,2.967059612,-11.449359894,-11.460747190,0.474525001
3.057184146,-0.746008658,-0.759999990,-0.666076980,2.844886780,-11.449359894,-11.456790274,0.603676010
